Korean Word	Polish Translation
PC방	kafejka internetowa
가게	sklep
가격	cena
가끔	czasami
가다	iść
가방	torba/plecak
가볍다	jest lekkie
가수	piosenkarz
가운데	na środku / w środku
가위	nożyczki
가을	jesień
가자	chodźmy
가장	najbardziej, naj-
가장	najbardziej
가족	rodzina
가지다	mieć, posiadać, trzymać
가진	posiadający, mający
간호사	pielęgniarka
갈비	żeberka
갈비탕	żeberka zupa
감사	wdzięczność
감사합니다	dziękuje grzeczne, formalne
감사합니다	dziękuję
감삽니다	dziękuję od 감사합니다
강남	Gangnam
강아지	szczeniaczek / piesek
같	zgodne, taki sam
같이	razem (codzienne)
개	pies
개수	liczba, ilość, sztuki
개장국,보신탕	zupa z psiną
거	rzecz
거울	lustro
건강	zdrowie
건강하세요	"uważaj na siebie"
건물	budynek
것	rzecz
게임	gra
겨울	zima
결혼	małżeństwo
결혼식	uroczystość ślubna
겹	warstwa
계란	jajko
계절	pora roku
고기	mięso
고르다	wybierać
고르세요	wybierz
고마워요	dziękuję
고향	dom rodzinny, rodzinne strony
골	dolina, wąwóz
곱다	być ładnym, piękny, delikatny
곳	miejsce
공	piłka
공부	nauka
공부하다	uczyć się (z książek)
공부하다	uczyć się (z książek)
공원	park
공책	zeszyt
공항	lotnisko
과	rozdział
과자	przekąska
관계	związek, relacja
교실	klasa (miejsce)
교육	edukacja
교통카드	karta transportowa / bilet okresowy
구경	zwiedzanie, oglądanie
국	wywar
국적	narodowość
군인	żołnierz
굽다	piec, grilować
귀엽다	być uroczym
귤	mandarynka
그	to
그냥	po prostu
그때	wtedy
그래서	więc, dlatego, zatem
그래서?	co z tego?
그래요	tak (zgadza się), oczywiście
그런데	ale, jednakże
그럼	w takim razie
그릇	miska (też klasyfikator)
그리고	i (coś tam reszta zdania)
그림	rysunek, obrazek
극장	kino, teatr
급	poziom, stopień, klasa, level
기념품	pamiątka
기숙사	akademik
기자	reporter
길	droga
길이 복잡해요	jest korek drogowy
김밥	kimbap
김치	kimchi
김치	kimczi
김치김밥	kimczi kimbap
김치볶음밥	smażony ryż kimchi
김치전	naleśnik kimczi
김치찌개	zupa kimczi
깊	głęboko
깍두기	kimczi z rzodkwi
꽃	kwiat
나	Ja
나라	kraj
나무	drzewo
나의	mój
날	dzień
날씨	pogoda
남	Południe
남산	Namsan
남자	mężczyzna
남자친구	chłopak/boyfriend
내리다	schodzić, wysiadać, opuszczanie (ruch w dół)
내용	zawartość, treść
내일	jutro
냉면	makaron na zimno
냉수	zimna woda
냉장고	lodówka
너	Ty (bardzo nieformalne)
너무	zbyt
네	tak
네덜란드	holandia
년	rok
노래	piosenka
노래방	karaoke
노래하다	śpiewać
녹색	zielony
녹차	herbata zielona
누구	kto, kogo
눈	śnieg
눈 온다	pada śnieg
눈사람	bałwan ze śniegu
능력	umiejętność, zdolność
다	całe, wszystko
다시	znowu, ponownie
다음	następny
다음주	przyszły tydzień
단어	słowo, wyraz
달걀	jajko
달력	kalendarz
닭고기	drób, kurczak
답	rozwiązanie, wynik (odpowiedź)
답하다	odpowiadać
당근	marchewka, też portal typu olx
대	duży, wielki
대단히	bardzo
대답	odpowiedź
대문	brama
대사관	ambasada
대학교	uniwersytet (uczelnia)
대화	rozmowa, dialog
더	więcej, bardziej
더위	upał, gorąc
덜	mniej
도	też (partykuła)
도서관	biblioteka
도장	pieczątka, dojo
도쿄	Tokyo
독일	Niemcy
돈	pieniądze
돈가스	Tonkatsu (kotlet schabowy)
돕다	pomagać
동생	młodsze rodzeństwo
동안	przez, podczas
동전	monety
뒤	za, z tyłu
드라마	TV drama
듣고	słuchaj
듣다 (들으세요)	słuchać, słyszeć
들어 보세요	słuchaj
들으세요	posłuchaj
따뜻	ciepło
따뜻하다	jest ciepło (przyjemnie)
따라 하세요	powtarzaj za mną
딸기	truskawka
때	kiedy, podczas, w czasie
떡	ciasto ryżowe
떡국	zupa rodzaj
또	znowu, ponownie, również
또 오세요	proszę wrócić
뜨겁다	być gorące/gorąco
뜻	znaczenie
라면	zupka chińska
러시아	Rosja
로	końcówka -> ulica
룸메이트	współlokator
리모컨	pilot do urządzenia
마시다	pić
마트	targowisko
마트	market, sklep
만나서 반가워요	Miło mi cię poznać
만두	pierogi koreańskie
만들다	tworzyć, stworzyć, budować, produkować
만들다 (만드세요)	robić, przygotować
만리장성	wielki mur chiński
만화방	sklep z komiksami
많이	dużo
말	wypowiedź
맑다	jest słonecznie, przejrzyście
맛	smak
맞	prawidłowy
맞는 것을 고르세요	wybierz właściwą rzecz
맞다	być prawidłowym, poprawnym, zgadzać się
맞아요(맞다)	to prawda
맞으면	jeśli poprawne
매우	bardzo
매일	codzienny
맥주	piwo
맵다	jest ostre(mocno pikantne)
먹다	jeść
메뉴	menu
메시지	wiadomość
멕시코	Meksyk
멜론	melon
며칠	który dzień
명동	Myeongdong (dzielnica)
명함	wizytówka
몇	ile, kilka, parę
모두	wszystkie
모른다	nie wiedzieć
모임	spotkanie, zebranie
모자	kapelusz/czapka
몰	mall (handlowy)
몰라요	nie wiem
몸	ciało
무	rzodkiew biała
무겁다	jest ciężkie
무슨	co, który, jaki - pytanie o konkret
무엇	co
무척	bardzo
문	drzwi
문방구	sklep papierniczy
문자 메시지	wiadomość tekstowa
문장	zdanie
물	woda
물건	rzecz
물김치	kimczi wodne
물음	pytanie
뭐	co
미국	USA
미안	przepraszam
미용실	fryzjer
밑줄 친 부분	podkreślona część
바르샤바	Warszawa
바위	głaz, kamień
바지	spodnie
박스	skrzynka/pudełko
밖	na zewnątrz
반	klasa (ludzie), pół
반가워요	Miło mi cię poznać
반갑습니다	Miło mi cię poznać (formalne)
반대되는	przeciwny, sprzeczny
반대되다	być przeciwnym, być w sprzeczności, oponować
반복하다	być powtarzalnym
밥	ryż (ugotowany), posiłek
방	pokój
방학	wakacje
배	statek
배	gruszki, brzuch
배구	siatkówka
배낭	plecak
배우다	uczyć się (ogólnie)
백김치	białe kimczi
백화점	dom towarowy (droższa galeria)
밸런타인데이	walentynki
버스 정류장	przystanek autobusowy
번호	numer
범	tygrys
병원	szpital
보	papier (kamień papier nożyce)
보기	przykład
보다 (보세요)	patrzeć, widzieć
보세요	spójrz/popatrz
보통	zazwyczaj
복습	powtórka
볶음	smażona potrawa
볼펜	długopis
봄	wiosna
봤다	widziałem, obejrzałem
부분	część, fragment
불	ogień
불고기	bulgogi
불고기	bulgogi
브러츠와프	Wrocław
블로그	blog
비	deszcz
비 내리다	pada deszcz
비가 온다	pada deszcz
비빔밥	bibimbap
빈칸	pusty
빠른	szybki
빨래	pranie
빨래방	pralnia
빨리	szybko
빵	pieczywo
사과	jabłko
사다	kupować
사다리	drabina
사람	osoba/człowiek/ludzie
사람들	ludzie (l.mnoga człowiek)
사랑	miłość
사무실	biuro
사이	pomiędzy
사전	słownik
사진	zdjęcie
사탕	cukierki, lizak
산	góra
산책	spacer
살	tłuszcz
삼	trzy
삼겹살	boczek
삼계탕	gorąca zupa rozgrzewająca
삼복,복날	sambok - 3 najcieplejsze dni lata
상당히	całkiem
샌드위치	kanapka
생년	rok urodzenia
생년월일	data urodzenia
생수	woda butelkowana
생일	urodziny
샤워	prysznic
서랍	szuflada, komoda
서로	nawzajem
서울	Seul
서점	księgarnia
선글라스	okulary przeciwsłoneczne
선물	prezent
선생님	nauczyciel
설날	nowy rok księżycowy/chiński
세배	pokłon noworoczny
소개	przedstawienie (od przedstawiać kogoś/coś)
소개	wstęp
소맥	piwo z soju
소반	stoliczek mały/tacka
소주	drink soju
손	dłoń
송림	las sosnowy
송편	danie kluski
쇼핑하다	robić zakupy (nie spożywcze)
수고	wysiłek
수고하다	dobra robota, podziękowanie za trud
수고했어요	dobrze zrobione, napracowałeś się
수박	arbuz
수영	pływanie
숙제	praca domowa
숙제 하다	odrobić pracę domową
순서	kolejność
쉽다	jest łatwe
슈퍼마켓	supermarket
스마트폰	smartphone
스시	sushi
스시	sushi
스파게티	spagetti
스포츠센터	centrum sportowe
시	godzina
시간	godzina, pora(czas na coś)
시간이	czas
시계	zegar
시내	śródmieście, rynek
시원하다	jest rześko, orzeźwiająco, ulga
시장	targ, ryneczek, bazar
시험	test/egzamin
식구	członek rodziny
식당	restauracja
식탁	stół
신문	gazeta
싱겁다	być mdłym
쌀	ryż surowy
쓰다	pisać
쓰세요	zapisz/napisz
씨	Mr/Ms
씨랑	z panem/panią
아니요	nie
아래 / 밑	pod, dół
아르바이트하다	praca dorywcza
아버지	ojciec
아이고	o jejku
아이스크림	lody
아저씨	pan
아주	bardzo
아주	bardzo
아주 잘했어요	bardzo dobrze zrobione
아주머니	pani w średnim wieku
아침	śniadanie
안	wewnątrz, w środku
안 A/V	nie (coś)
안경	okulary korekcyjne
안녕	cześć
안녕하세요	dzień dobry / witam
안녕하십니까	dzień dobry (formalne)
안녕히 가세요	do widzenia (rozmówca gdzieś idzie)
안녕히 계세요	do widzenia (rozmówca zostaje na miejscu)
앉다	siedzieć
않다	nie być
알겠어요	dobrze, w porządku, przyjąłem do wiadomości
알다	wiedzieć
알맞	odpowiedni
알맞은 것을 고르세요	wybierz ten odpowiedni
알아요	wiem
앞	przed, z przodu
약국	apteka
약속	obietnica, umówione spotkanie
얀사동	Yansa-dong (dzielnica)
양력	kalendarz słoneczny
양산	parasol przeciwsłoneczny
어디	gdzie
어디에서	skąd
어렵	trudny
어렵다	jest trudne
